0.10	9.91	90.27	0.995
0.20	2.84	45.70	0.995
0.30	1.41	30.51	0.994
0.40	0.91	22.89	0.993
0.50	0.67	18.32	0.992
1.00	0.28	9.03	0.987
1.50	0.27	5.79	0.969
2.00	0.27	4.18	0.944
2.50	0.24	3.09	0.914
3.00	0.23	2.27	0.864
3.25	0.23	1.86	0.816
3.50	0.21	1.42	0.756
3.60	0.23	1.13	0.671
3.70	0.30	0.77	0.475
3.77	0.53	0.40	0.154
3.80	0.73	0.30	0.053
3.90	1.30	0.36	0.040
4.00	1.61	0.60	0.103
4.10	1.73	0.85	0.153
4.20	1.75	1.06	0.194
4.30	1.73	1.13	0.208
4.50	1.69	1.28	0.238
4.75	1.61	1.34	0.252
5.00	1.55	1.36	0.257
5.50	1.45	1.34	0.257
6.00	1.34	1.28	0.246
6.50	1.25	1.18	0.225
7.00	1.18	1.06	0.196
7.50	1.14	0.91	0.157
8.00	1.16	0.75	0.114
9.00	1.33	0.56	0.074
10.00	1.46	0.56	0.082
11.00	1.52	0.56	0.088
12.00	1.61	0.59	0.100

