0.55	0.139	7.10	0.989
0.58	0.119	6.72	0.990
0.63	0.106	6.32	0.990
0.67	0.091	5.79	0.990
0.73	0.079	5.30	0.989
0.81	0.066	4.75	0.989
0.92	0.056	4.19	0.988
1.05	0.044	3.58	0.987
1.23	0.040	3.04	0.985
1.44	0.040	2.56	0.979
1.65	0.044	2.19	0.970
1.87	0.050	1.84	0.955
2.07	0.053	1.62	0.943
2.27	0.049	1.43	0.938
2.45	0.046	1.28	0.933
2.64	0.043	1.14	0.928
2.82	0.043	1.02	0.919
2.95	0.041	0.898	0.913
3.06	0.041	0.799	0.905
3.40	0.052	0.549	0.852
3.71	0.089	0.288	0.719
3.97	0.287	0.091	0.310
4.00	0.34	0.08	0.245
4.065	0.38	0.07	0.204
4.133	0.41	0.07	0.177
4.203	0.45	0.06	0.145
4.275	0.48	0.06	0.125
4.350	0.52	0.05	0.101
4.428	0.55	0.05	0.085
4.509	0.58	0.05	0.072
4.592	0.61	0.05	0.060
4.679	0.64	0.04	0.049
4.769	0.66	0.04	0.043
4.862	0.68	0.04	0.037
4.959	0.70	0.04	0.032
5.061	0.72	0.04	0.027
5.166	0.74	0.04	0.023
5.276	0.76	0.04	0.019
5.391	0.78	0.04	0.016
5.510	0.79	0.05	0.015
5.637	0.81	0.05	0.012
5.767	0.83	0.05	0.009
6.048	0.85	0.05	0.007
6.199	0.87	0.05	0.006
6.358	0.88	0.05	0.005
6.526	0.90	0.06	0.004
6.702	0.91	0.06	0.003
6.888	0.92	0.06	0.003
7.085	0.92	0.06	0.003
7.293	0.93	0.06	0.002
7.514	0.93	0.06	0.002
7.749	0.94	0.06	0.002
7.999	0.94	0.06	0.002
8.260	0.94	0.06	0.002
8.551	0.94	0.06	0.002
8.856	0.94	0.05	0.002
9.184	0.94	0.05	0.002
9.537	0.94	0.04	0.001
9.919	0.94	0.04	0.001
10.33	0.94	0.03	0.001

