0.55	0.262	9.97	0.990
0.58	0.241	9.45	0.989
0.63	0.207	8.80	0.990
0.67	0.175	8.09	0.990
0.73	0.147	7.42	0.990
0.81	0.123	6.67	0.989
0.92	0.099	5.82	0.989
1.05	0.078	5.11	0.989
1.23	0.064	4.35	0.987
1.44	0.053	3.72	0.986
1.65	0.050	3.22	0.983
1.87	0.049	2.76	0.978
2.07	0.053	2.48	0.971
2.27	0.059	2.23	0.961
2.45	0.063	2.07	0.953
2.64	0.066	1.88	0.943
2.82	0.068	1.76	0.936
2.95	0.068	1.63	0.928
3.06	0.069	1.54	0.921
3.20	0.065	1.47	0.921
3.40	0.061	1.33	0.916
3.71	0.055	1.13	0.908
3.97	0.049	1.01	0.908

